station;enlem;boylam;bolge;peron_adet
İSTANBUL YOLU KAMPÜS A GİRİŞ;38.020.095;32.514.845;Selçuklu;19
İSTANBUL YOLU FARABİ HASTANESİ KAVŞAĞI;37.979.046;32.517.157;Selçuklu;17
DOÇ.DR. HALİL ÜRÜN CAD. SELÇUKLU BELEDİYE ÖNÜ;37.946.062;32.501.609;Selçuklu;20
İSTANBUL YOLU AYDINLIK EVLER KÖPRÜLÜ KAVŞAGI;37.904.198;32.495.494;Selçuklu;24
BEYŞEHİR CAD.SİLLE YOLU KAVŞAĞI;37.892.596;32.478.104;Selçuklu;12
BEYŞEHİR ÇEVRE YOLU TIP FAKÜLTESİ YANI;37.874.638;32.428.567;Meram;10
YENİ MERAM CAD.ÇAY BAHÇESİ ÖNÜ;37.853.193;32.422.643;Meram;25
YENİ MERAM CAD.MERAM EĞİTİM ARAŞTIRMA HASTANESİ ÖNÜ;37.861.730;32.445.424;Meram;15
S.ALİ KEMAL CAD.MELİKŞAH PARKI YANI;37.870.822;32.458.724;Meram;18
A.ÖZCAN CAD.ZAFER İ.Ö.O ÖNÜ-KOMEK;37.848.701;32.499.034;Meram;10
ALAADDİN KAP CADDESİ.K.T.O ÖNÜ;37.865.308;32.537.935;Karatay;20
PİRİESAT CAD.KARATAY BELEDİYESİ KARŞISI;37.865.846;32.502.020;Karatay;12
LARENDE CAD.BALIK HALİ ÖNÜ;37.865.846;32.489.028;Meram;17
FERİTPAŞA CAD D.S.İ ÖNÜ;37.867.121;32.484.166;Meram;20
İSTASYON CAD.GAR KARŞISI;37.866.368;32.477.337;Meram;10
KAZIM KARABEKİR CAD. CAMLIKÖŞK ÖNÜ ZAFER;37.870.888;32.490.282;Meram;18
ALAADDİN BULVARI İŞ BANKASI ÖNÜ;37.872.122;32.494.404;Meram;10
MEVLANA CAD.KAYALIPARK VALİLİK ÖNÜ;37.871.519;32.498.024;Meram;10
MEVLANA CAD.HÜKÜMET MEYDANI ŞERAFETTİN CAMİ ÖNÜ;37.872.085;32.498.866;Meram;19
KARATAY MÜZESİ KARŞISI;37.874.778;32.493.479;Selçuklu;17
ABDULEZELPAŞA CAD.KÜLTÜRPARK A GİRİŞİ;37.874.234;32.490.386;Selçuklu;23
KEMERLİ CAD.MALİYE KARŞISI;37.875.010;32.485.128;Selçuklu;16
VATAN CADDESİ BÜYÜKŞEHİR BELEDİYESİ ÖNÜ;37.876.955;32.487.010;Selçuklu;28
MEHMET HULUSİ BAYBAL CAD.BERA OTEL KARŞISI;37.877.702;32.483.227;Selçuklu;10
RAUF DENKTAŞ CAD.NENE HATUN PARK ÖNÜ;37.882.539;32.488.009;Selçuklu;14
ANKARA CAD.EMNİYET MÜDÜRLÜĞÜ KARŞISI;37.886.572;32.499.106;Karatay;20
KULE CAD.KULE SİTE KARŞISI;37.888.321;32.493.770;Selçuklu;18
ANTALYA ÇEVRE YOLU KARAMAN YOLU KAVŞAĞI;37.828.959;32.516.725;Meram;30
BEYŞEHİR CAD.BAŞKENT HASTANESİ KARŞISI;37.884.839;32.458.125;Selçuklu;14
ABDULEZELPAŞA CAD.MARAŞEL İ.Ö.O YANI;37.872.100;32.485.096;Selçuklu;12
BÜYÜK HİZMET CADDESİ VE OSMANLI CADDESİ KESİŞİMİ;38.010.056;32.526.904;Selçuklu;17
ASLANLI KIŞLA CAD. MEVLANA KÜLTÜR MERKEZİ;37.869.059;32.513.446;Karatay;10
CEMİL ÇİÇEK CAD.ADLİYE ÖNÜ PARK GİRİŞİ;37.862.671;32.543.149;Karatay;10
İSTANBUL YOLU OTOGAR MEDAŞ ÖNÜ;37.949.606;32.513.338;Selçuklu;20
AZERBEYCAN CAD.TAPU KADASTRO BÖLGESİ;37.860.587;32.476.903;Meram;8
YENİ MERAM CAD. EĞİTİM FAKÜLTESİ ÖNÜ;37.864.353;32.453.574;Meram;22
KADIN DOĞUM HASTANESİ;37.910.757;32.500.413;Selçuklu;19
GENÇLİK MERKEZİ ÖNÜ;38.009.373;32.520.634;Selçuklu;27
MESAJ- OSMANLI CADDESİ KESİŞİMİ;38.010.116;32.522.600;Selçuklu;12
HOCA HASAN CAMİ GEDAVET PARKI;37.870.477;32.486.176;Meram;12
